0		1
0.101168	0.994869
0.201299	0.97953
0.299363	0.954139
0.394356	0.918958
0.485302	0.874347
0.571268	0.820763
0.651372	0.758758
0.724793	0.688967
0.790776	0.612106
0.848644	0.528964
0.897805	0.440394
0.937752	0.347305
0.968077	0.250653
0.988468	0.151428
0.998717	0.0506492
0.998717	-0.0506492
0.988468	-0.151428
0.968077	-0.250653
0.937752	-0.347305
0.897805	-0.440394
0.848644	-0.528964
0.790776	-0.612106
0.724793	-0.688967
0.651372	-0.758758
0.571268	-0.820763
0.485302	-0.874347
0.394356	-0.918958
0.299363	-0.954139
0.201299	-0.97953
0.101168	-0.994869
0		-1
-0.101168	-0.994869
-0.201299	-0.97953
-0.299363	-0.954139
-0.394356	-0.918958
-0.485302	-0.874347
-0.571268	-0.820763
-0.651372	-0.758758
-0.724793	-0.688967
-0.790776	-0.612106
-0.848644	-0.528964
-0.897805	-0.440394
-0.937752	-0.347305
-0.968077	-0.250653
-0.988468	-0.151428
-0.998717	-0.0506492
-0.998717	0.0506492
-0.988468	0.151428
-0.968077	0.250653
-0.937752	0.347305
-0.897805	0.440394
-0.848644	0.528964
-0.790776	0.612106
-0.724793	0.688967
-0.651372	0.758758
-0.571268	0.820763
-0.485302	0.874347
-0.394356	0.918958
-0.299363	0.954139
-0.201299	0.97953
-0.101168	0.994869
